title,artist,emotion,url
Tum Hi Ho,Arijit Singh,romantic,https://open.spotify.com/embed/track/56zZ48jdyY2oDXHVnwg5Di
Thinking Out Loud,Ed Sheeran,romantic,https://open.spotify.com/embed/track/34gCuhDGsG4bRPIf9bb02f
Perfect,Ed Sheeran,romantic,https://open.spotify.com/embed/track/0tgVpDi06FyKpA1z0VMD4v
Oohalu Gusagusalade,Kamalaja-Kamalini,romantic,https://open.spotify.com/embed/track/6vsPBbLGfeLraBanG4HJaR
Kaise Hua,Vishal Mishra,romantic,https://open.spotify.com/embed/track/1y1rQTkWmrZdJmjwuK07GC
Darshana,Hesham Abdul Wahab,romantic,https://open.spotify.com/embed/track/4BBwON1XG02S4cpYrV10u2
All of Me,John Legend,romantic,https://open.spotify.com/embed/track/3U4isOIWM3VvDubwSI3y7a
Raabta,Arijit Singh,romantic,https://open.spotify.com/embed/track/6FjbAnaPRPwiP3sciEYctO
My Heart Will Go On,Celine Dion,romantic,https://open.spotify.com/embed/track/7F1yVPuJ4xRdrDvf8OL0HF
I Don't Want to Miss a Thing,Aerosmith,romantic,https://open.spotify.com/embed/track/5qlJg0Wbj3sslxfwiaRNpq
Can't Help Falling in Love,Elvis Presley,romantic,https://open.spotify.com/embed/track/44AyOl4qVkzS48vBsbNXaC
Make You Feel My Love,Adele,romantic,https://open.spotify.com/embed/track/273QnyCvJB65rScHJ1nPZb
Your Song,Elton John,romantic,https://open.spotify.com/embed/track/38zsOOcu31XbbYj9BIPUF1
A Thousand Years,Christina Perri,romantic,https://open.spotify.com/embed/track/6lanRgr6wXibZr8KgzXxBl
Unchained Melody,The Righteous Brothers,romantic,https://open.spotify.com/embed/track/2qhASBzpbFhPRtrnZ5lLnz
Tera Ban Jaunga,Akhil Sachdeva,romantic,https://open.spotify.com/embed/track/3oWxFNsXstcancCR1wODR4
Pehla Nasha,Udit Narayan,romantic,https://open.spotify.com/embed/track/6cCSo8zu3bRck519ZqRGfk
Tum Se Hi,Mohit Chauhan,romantic,https://open.spotify.com/embed/track/7eQl3Yqv35ioqUfveKHitE
Janam Janam,Arijit Singh,romantic,https://open.spotify.com/embed/track/4km0RUkMMFdx8iDuq36o2w
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,romantic,https://open.spotify.com/embed/track/2LcXJP95e4HKydTZ2mYfrx
Gerua,Arijit Singh,romantic,https://open.spotify.com/embed/track/7iLA6PQeQWRjLDHOJgGpj5
Dil Diyan Gallan,Atif Aslam,romantic,https://open.spotify.com/embed/track/0FBQ4NrrHUbR9kus7rzrOj
Kannana Kanne,Binni Krishnakumar,romantic,https://open.spotify.com/embed/track/68sZLZ4G6U8frxCiVCeaI2
